id,name,brewery,degree,type,richness,sweetness,flavor,pairing,method1_icon,method1_name,method1_note,method2_icon,method2_name,method2_note,method3_icon,method3_name,method3_note,pairing_emoji,pairing_labels,pairing_cats,similar
1,残波（白）,比嘉酒造,25,一般酒,2,3,フルーティーで透明感のある味わい。泡盛初心者に最適,ゴーヤーチャンプルーやもずく天ぷらなど、さっぱりした沖縄料理と好相性,🥤,炭酸割り,爽快感MAX,🍋,シークヮーサー割り,南国の香り,🧊,ロック,キレが出る,🥬|🍤|🌿,炒め物|揚げ物|沖縄料理,itamemono|agemono|okinawa|izakaya,beer|chuhai|cocktail
2,残波（黒）,比嘉酒造,30,一般酒,4,2,力強いコクとキレの良さ。伝統的な泡盛の味わい,ラフテーやソーキなどの豚肉煮込み料理と抜群の相性,🧊,ロック,旨味が引き立つ,💧,水割り,7:3が黄金比,♨️,お湯割り,香りが広がる,🍖|🥩|🍲,煮込み|ステーキ|鍋料理,nikomi|steak|okinawa|nabe,shochu|whisky
3,菊之露ブラウン,菊之露酒造,30,一般酒,3,3,独特の風味と甘みのバランス。スタンダードな定番銘柄,沖縄料理全般に合う万能な一本,💧,水割り,毎日の晩酌に,♨️,お湯割り,冬にぴったり,🧊,ロック,シンプルに,🌿|🍢|🍲,沖縄料理|おつまみ|鍋料理,nikomi|okinawa|izakaya|nabe,sake|shochu
4,瑞泉,瑞泉酒造,30,一般酒,3,2,首里の伝統を受け継ぐキレのある味わい。食中酒に最適,海ぶどうやもずく酢、刺身など海鮮系との相性が抜群,💧,水割り,食事と共に,🍋,シークヮーサー割り,さっぱり爽快,🧊,ロック,キレを楽しむ,🐟|🦑|🌊,刺身|海鮮|居酒屋,kaisen|izakaya|okinawa|itamemono,sake|beer
5,久米島の久米仙,久米島の久米仙,30,一般酒,2,3,柔らかな口当たりと湧水由来の清涼感,刺身やソーメンチャンプルーなど、あっさり系の料理に合う,💧,水割り,やさしく割って,🥤,炭酸割り,清涼感UP,🧊,ロック,清澄な甘み,🐟|🌿|🧀,海鮮|炒め物|チーズ,kaisen|itamemono|izakaya|cheese,sake|wine|beer
6,暖流,神村酒造,30,樽貯蔵,4,4,オーク樽由来のバニラ香と琥珀色。ウイスキーのような風格,ステーキ、燻製料理、ローストビーフと最高の組み合わせ,🥤,暖ボール,ハイボールスタイル,🧊,ロック,香り深く,🥃,ストレート,樽の深みを,🥩|🧀|🍳,ステーキ|チーズ|燻製,steak|cheese|italian|dessert,whisky|highball
7,菊之露VIPゴールド,菊之露酒造,30,古酒,4,4,洗練された甘みとプレミアム感。長期熟成の深い味わい,ラフテーなど濃厚な煮込み料理と古酒の熟成香が同調する,🧊,ロック,プレミアムに,🥃,ストレート,熟成をそのまま,💧,少量の水,香りが開く,🍖|🧀|🍫,煮込み|チーズ|デザート,nikomi|nabe|cheese|dessert,whisky|wine
8,松藤（荒濾過）,崎山酒造廠,30,一般酒,5,2,老麹由来の深いコクとまろやかさ。荒濾過のパンチある味わい,グラタンやオイル系料理、スパイシーな料理のオイルの重さを流す,🧊,ロック,コクを堪能,💧,水割り,飲みやすく,♨️,お湯割り,旨味が増す,🍝|🌶️|🥩,イタリアン|スパイシー|肉料理,italian|spicy|steak|okinawa,shochu|whisky
9,海人,まさひろ酒造,30,一般酒,2,2,スッキリとした後味と華やかな香り,グルクン唐揚げや海鮮料理とスッキリ楽しめる,🥤,炭酸割り,最もスッキリ,💧,水割り,食中酒に,🧊,ロック,香りを感じる,🐟|🍤|🌊,海鮮|揚げ物|居酒屋,kaisen|agemono|izakaya|itamemono,beer|highball|chuhai
10,琉球王朝,多良川,30,古酒,3,4,バランスの取れた香りとコク。古酒ならではのまろやかさ,あぐー豚のしゃぶしゃぶや沖縄の伝統料理との調和,🧊,ロック,まろやかに,💧,水割り,バランス良く,🥃,ストレート,古酒を純粋に,🍖|🍲|🧀,煮込み|鍋料理|チーズ,nikomi|okinawa|nabe|cheese,sake|wine|whisky
11,芳醇浪漫 守禮,神谷酒造所,35,一般酒,5,3,選び抜かれた酵母による豊かな香り。味のしっかりした料理と調和,ラフテーや足てびちなどの煮物料理に最適,🧊,ロック,これ一択,💧,少量の水,香りが広がる,♨️,お湯割り,深みが出る,🍖|🌿|🥩,煮込み|沖縄料理|肉料理,nikomi|okinawa|steak|nabe,shochu|whisky
12,伊是名島 5年古酒,伊是名酒造所,30,古酒,3,4,熟成されたまろやかなのど越し。深みのある味わい,つけもずくなど、繊細な味付けの料理と響き合う,💧,水割り,繊細に,🥃,ストレート,熟成をそのまま,🧊,ロック,ゆっくりと,🐟|🌿|🧀,海鮮|沖縄料理|チーズ,kaisen|okinawa|izakaya|cheese,sake|wine
13,まさひろオキナワジン,まさひろ酒造,47,ジン（泡盛ベース）,3,1,泡盛ベースのクラフトジン。ボタニカルの爽快な香り,スパイスカレーやタコスなどスパイシー料理と「琉球メキシカン」の融合,🍹,ジントニック,定番,🥤,炭酸割り,爽快感MAX,🍋,ライム添え,香りを楽しむ,🌶️|🍝|🧀,スパイシー|イタリアン|チーズ,spicy|italian|cheese|kaisen,cocktail|highball|beer
14,くら,ヘリオス酒造,25,樽貯蔵,3,4,樫樽熟成の琥珀色。ウイスキーのようなバニラ香だが飲みやすい,グリル料理やチョコレートデザートと相性抜群,🥤,くらハイボール,大人気,🧊,ロック,バニラ香,🥃,ストレート,25度で飲みやすい,🥩|🍫|🧀,ステーキ|デザート|チーズ,steak|dessert|cheese|italian,whisky|highball|cocktail
15,OKINAWA ISLAND BLUE,久米仙酒造,43,古酒,4,3,カクテルベースとして最適。クラシックカクテルのアレンジに,ゴッドファーザー風カクテルでデザートと。ステーキにも,🍹,カクテルベース,個性が光る,🧊,ロック,43度の存在感,🥃,ストレート,古酒の深み,🧀|🍫|🥩,チーズ|デザート|ステーキ,cheese|dessert|steak|italian,whisky|cocktail
